system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,tier0_urban,tier1_urban,tier2_urban,tier3_urban,tier4_urban,.geo
00007157aff87c4cf8fb,KEN,KEN.31_1,Kenya,Nakuru,,56285.79639209763,68234.95431181042,99949.64877921029,180008.26959517357,518901.63359814655,
00009ccbb608b6d6dbd8,KEN,KEN.35_1,Kenya,Nyandarua,,20654.195189504884,27846.371407213213,28902.752747153158,24002.694363665545,6992.806500312039,
000099f3ade2b937a345,KEN,KEN.26_1,Kenya,Meru,,454319.50175973383,403766.5151975334,84385.99853053194,42574.22655714367,61080.08320246042,
000047205a9950df1e1b,KEN,KEN.36_1,Kenya,Nyeri,,45738.68454372219,299900.0811157238,49261.94620245624,34048.18071819686,58268.809876466665,
00009b64a8653a8b302e,KEN,KEN.41_1,Kenya,Tharaka-Nithi,,105586.916113253,82342.46572367428,10218.816020566903,4385.712512794728,3323.9723177127353,
00007ca72364c7f9f7ce,KEN,KEN.7_1,Kenya,Garissa,,42513.11331132234,85598.43527041105,26709.27831637294,112667.92906440297,138382.77311026002,
00001f63df3bf8c78a63,KEN,KEN.46_1,Kenya,Wajir,,148389.78885913963,136098.50999957992,30725.72043641585,29587.235208000886,10756.158712498009,
000051373c7d310c2ffa,KEN,KEN.24_1,Kenya,Mandera,,320670.2953269731,163194.12052983954,56029.56414936177,41375.54250315348,4724.36256626515,
00000b37a78d352e759e,SOM,SOM.7_1,Somalia,Gedo,Gado,424334.8123710957,4097.770792465982,2541.356898638537,1202.5345539412901,0.0,
00000b0ccf2444d74c7b,SOM,SOM.8_1,Somalia,Hiiraan,Hiiran,374820.156141011,8380.847187042327,28803.516574663587,17680.379609325802,0.0,
000094460e2b9c5cb036,SOM,SOM.2_1,Somalia,Bakool,,392077.16868231806,17568.97542598775,0.0,0.0,0.0,
0000a4337668b514b42f,SOM,SOM.5_1,Somalia,Bay,Baay,518436.3035975002,50952.511410662555,64361.44275020803,70868.80233707404,0.0,
00009ef143ddcfb8d0c6,SOM,SOM.15_1,Somalia,Shabeellaha Hoose,Sh. Hoose| Lower Shabele,621342.9131903985,59369.1145695469,73697.91725745662,112364.83035744913,23580.66521572637,
0000026a76dd0a60e369,SOM,SOM.9_1,Somalia,Jubbada Dhexe,J. Dhexe| Central Juba| Middle Juba,228926.7852345895,268.0020982328763,0.0,0.0,0.0,
0000ec7b00fb4ba29515,SOM,SOM.10_1,Somalia,Jubbada Hoose,J. Hoose| Lower Juba,300270.2742074843,23344.637153880925,7907.815448532633,775.4856797190329,0.0,
0000033ab85a10b5c2db,KEN,KEN.21_1,Kenya,Lamu,,1965.0035014627656,4578.54014430548,1166.6900079177456,13918.128002089557,4561.572011614056,
0000d97864e30d5db3a5,KEN,KEN.14_1,Kenya,Kilifi,,44811.20792093045,103774.79404806001,75250.888997932,119926.09996403068,131672.23788891046,
0000e634f509e1b5cbe8,KEN,KEN.40_1,Kenya,Tana River,,3948.4046688327976,7594.4497648245615,4466.252852223472,3639.0087566802217,2299.8335270267517,
0000859bcced57acede7,KEN,KEN.18_1,Kenya,Kitui,,23470.921841950763,25402.22476179974,5793.077662597655,11040.274269583086,17790.60286434506,
0000c03e0e61a2078d6c,KEN,KEN.22_1,Kenya,Machakos,,29010.123551409128,193161.9100307949,50804.62319315212,50688.37060242129,130562.29413618319,
0000fa8d93e6b3cdc22e,KEN,KEN.23_1,Kenya,Makueni,,46155.688351271194,28285.839378659934,9914.117363451882,12654.947254983383,6953.739324023036,
0000f3668bd6d1a49231,KEN,KEN.13_1,Kenya,Kiambu,,14995.49093779325,225609.20757284458,212416.18907163065,315634.2130814828,467629.3620860779,
0000c72e3ec9bf5cef6e,KEN,KEN.29_1,Kenya,Murang'a,,97871.30789993929,399528.0513646318,35306.0102085039,21580.044011231148,13315.762638613942,
00006aa279ec2fa0daf0,KEN,KEN.6_1,Kenya,Embu,,108666.64768487599,160258.20635978243,26964.907347888675,18651.167184111855,20670.947586346534,
00000143e28301ff11d3,KEN,KEN.15_1,Kenya,Kirinyaga,,50039.5561712249,169723.12251604526,36300.41375434806,33928.63264177306,6090.945684488339,
000053d59bbbe785233a,KEN,KEN.33_1,Kenya,Narok,,156939.63508429826,16885.295650188895,7401.966527644225,7806.627904976216,8060.896551980359,
0000f2eebe1864edf697,KEN,KEN.2_1,Kenya,Bomet,,554119.5525884497,98209.70182605999,17292.055735839287,14942.934875405681,7310.442706448641,
0000ad6ff40152e9242f,KEN,KEN.8_1,Kenya,Homa Bay,,179535.96798834027,121887.40187868792,31286.19354389995,28832.914628387844,11880.003315299386,
0000bb3a9a5d0ed74484,KEN,KEN.34_1,Kenya,Nyamira,,59321.33866412822,360272.7877978165,35099.66816991345,19220.3126824236,1491.581303724474,
00004c75830331a27272,KEN,KEN.16_1,Kenya,Kisii,,123935.95155388808,574321.6832665962,151644.374167535,78312.49268297637,39694.48071003718,
00009f9c316f11b91061,KEN,KEN.27_1,Kenya,Migori,,365696.69532101316,151643.15235021818,34650.383535067645,44770.886604457875,5776.90998817789,
000004528ef99d50ec8e,TZA,TZA.12_1,Tanzania,Mara,,115340.15874857084,50289.5168788965,37337.44951069663,167241.40841445257,10698.353467245535,
00004c7368ea369da415,TZA,TZA.1_1,Tanzania,Arusha,,60356.18695276894,167004.06548541802,133259.98842181693,251644.5376426671,219769.2682192275,
000070e599ef8af99deb,KEN,KEN.10_1,Kenya,Kajiado,,10131.965545505238,16153.290748187143,39412.96198524814,119101.11233892955,153985.2407015962,
00007045bfaa595f36bf,KEN,KEN.30_1,Kenya,Nairobi,,0.0,5.929486162625911,866.4836548437434,34063.222415175565,4342070.993821845,
00000c5a5313658e8c1e,TZA,TZA.9_1,Tanzania,Kilimanjaro,,225879.31866863064,575554.578240522,126491.60766128919,206179.5561269743,11775.946616219291,
0000b5d7397dc022cbef,TZA,TZA.24_1,Tanzania,Simiyu,,46694.299043385654,44925.66709622081,35599.37751237971,25738.17105718115,0.0,
0000defaab9c284823e2,TZA,TZA.11_1,Tanzania,Manyara,,58928.80707442771,19238.48115621871,46001.798533527304,40974.518511211274,0.0,
00000db743ed39bd2140,TZA,TZA.25_1,Tanzania,Singida,,14938.115661582753,22080.963022102318,31854.138942656715,62885.733480252886,41446.743538350864,
0000424b2be638a59403,KEN,KEN.39_1,Kenya,Taita Taveta,,16571.468457559382,33351.19124556619,10980.524195476264,13841.084992454535,15500.693028602278,
00000b14b07ed1c421e1,KEN,KEN.19_1,Kenya,Kwale,,9860.401503924995,30275.18462177423,47637.39683636547,55192.97295088105,40982.89114922328,
000054647953dae2a15e,KEN,KEN.28_1,Kenya,Mombasa,,0.0,1342.241350445721,3891.4818199179736,66395.79947104421,1139434.0064069,
0000786f3ef498d9145d,TZA,TZA.27_1,Tanzania,Tanga,,289287.2921832797,127114.60261429723,97032.75482375073,194959.1388955595,110312.56035279299,
00007a0f5c6c3d4e4743,TZA,TZA.18_1,Tanzania,Pemba North,Kaskazini Pemba,68091.12224921209,72332.93933035828,35980.95285722498,0.0,0.0,
0000a27f2eca7166cb20,TZA,TZA.19_1,Tanzania,Pemba South,Kusini Pemba,54812.4027581804,52000.734671523336,31293.482187448164,4494.58516788386,0.0,
000066815f2cdc35a33b,TZA,TZA.29_1,Tanzania,Zanzibar South and Central,Kusini Unguja,4430.223581263572,24605.97479468829,9412.573960450962,1918.3213100786493,0.0,
0000914d9ac55fe26b97,TZA,TZA.28_1,Tanzania,Zanzibar North,Kaskazini Unguja,19554.93456874245,102580.11605236662,3012.0335805890995,11981.251417154861,2174.9045976078637,
0000038658159b9665bc,TZA,TZA.30_1,Tanzania,Zanzibar West,Mjini Magharibi,0.0,10782.932213560449,52999.947544172384,378166.3204719679,338248.00824269775,
00001d70eac954676b6f,TZA,TZA.20_1,Tanzania,Pwani,,13517.533715862273,67757.30960349615,102324.1986027535,177602.1788436176,19369.094599447708,
0000c2e8eef13d9b5229,TZA,TZA.14_1,Tanzania,Morogoro,,52162.97481629714,110446.9580551792,116714.65341041963,225560.76384166515,115260.62124434198,
0000b7d7e18038593453,TZA,TZA.3_1,Tanzania,Dodoma,,40140.741568951285,74419.11047683188,59818.34625187392,105794.67934136325,168856.9716685414,
0000947458e15f4d04b4,TZA,TZA.5_1,Tanzania,Iringa,,9083.200602678142,31515.507402581898,64097.604430310355,116620.73429717803,44768.926473599604,
0000435fd54496d6c2d1,TZA,TZA.13_1,Tanzania,Mbeya,,154914.38954963596,175769.64851483834,260912.62779790748,486912.82762692904,189967.0586221634,
000009fbb73eecc112a6,TZA,TZA.17_1,Tanzania,Njombe,,29570.423110140717,22713.923132524495,55002.14559554505,60762.88834202499,4576.745919587896,
0000675a65ae7d472552,TZA,TZA.10_1,Tanzania,Lindi,,74552.93934696337,64116.95010990398,61467.35152231493,28355.243951539378,0.0,
0000342a356e9a853acb,TZA,TZA.2_1,Tanzania,Dar es Salaam,Dar-es-salaam|Pwani,0.0,11227.972925131036,58740.61390273265,513255.43421297445,5726201.605315388,
0000bbb2483f480e72c9,TZA,TZA.15_1,Tanzania,Mtwara,,108476.8407339942,105071.26017001233,72526.27138386885,84064.52678157232,29202.27441402042,
0000c6796648020ce4fd,MOZ,MOZ.1_1,Mozambique,Cabo Delgado,,208686.42011611492,122041.83540066937,138896.41515540978,210755.1586985583,235180.0628717563,
000015f2c0403162c276,COM,COM.2_1,Comoros,NjazÃ­dja,Grande Comore,0.0,0.0,0.0,0.0,0.0,
00005f9ed7de7d992e23,COM,COM.1_1,Comoros,Mwali,MohÃ©li,0.0,0.0,0.0,0.0,0.0,
0000ea3223a0f9df7bf7,COM,COM.3_1,Comoros,Nzwani,Anjouan,0.0,0.0,0.0,0.0,0.0,
000063c71b94b953cf78,MDG,MDG.4_1,Madagascar,Mahajanga,Majunga,285249.3778943892,30230.41999373521,44614.78016291818,91646.83335224648,29649.15315874171,
00005defa5e55c99c542,MOZ,MOZ.7_1,Mozambique,Nampula,MoÃ§ambique|Mozambique,208690.88200330554,120123.59357438573,157130.98848304574,349813.35519435996,673136.0641206781,
0000dfa5d827edfe3f87,MOZ,MOZ.8_1,Mozambique,Nassa,Niassa,107774.72318238851,71552.79057361007,78168.04577125593,148440.91599505217,85182.96909192107,
0000a770a7c889846ac1,MOZ,MOZ.11_1,Mozambique,Zambezia,,130722.98663838157,57762.400966685964,125037.92625994874,191507.72126400267,249106.91965965542,
0000b94a1eb469faefe3,MOZ,MOZ.9_1,Mozambique,Sofala,,9758.644761536938,12976.78026973983,37873.896011903045,134775.40847771143,592589.6572432009,
00007fc8e8779109dd2c,MOZ,MOZ.10_1,Mozambique,Tete,,185437.3603329697,29916.08953579528,49492.8081292965,81059.16445003617,322616.10024644877,
0000708fc4d0657fb6bb,MWI,MWI.21_1,Malawi,Nsanje,Port Herald,81302.61966472014,38490.49958879965,26999.41852227455,11314.634298086921,0.0,
000033669f828a7bf9c7,MWI,MWI.15_1,Malawi,Mulanje,Mlange|Mlanje,382369.46763573436,66883.59272982733,28539.95877380594,19045.417093772947,0.0,
0000551ee550eb66d14d,MWI,MWI.27_1,Malawi,Thyolo,Cholo,412745.2795026695,90382.64948394064,31060.55013820483,12606.164634676436,0.0,
0000b41f9419d57d9f6d,MWI,MWI.3_1,Malawi,Chikwawa,,125606.73937133071,78816.76313676241,27225.326885999486,19539.040297238913,2957.0498638473864,
00006b1066d17a5d6cf2,MOZ,MOZ.4_1,Mozambique,Manica,,15567.44452999748,29841.389060788526,71285.70606506651,213246.45873654776,184800.6561707456,
0000bbe189cb53053747,MWI,MWI.2_1,Malawi,Blantyre,,72906.95052120206,74441.26275436344,48061.49052008168,274256.6990679249,676491.2869997589,
00009caa2b2dd294a9fb,MWI,MWI.4_1,Malawi,Chiradzulu,,182335.1919004663,77962.47881850832,10671.880654637249,3287.2730155195572,0.0,
0000cce9b5f9f8acda73,MWI,MWI.28_1,Malawi,Zomba,,300948.2441115648,57212.22834638375,25612.05838429328,60782.40621195087,58000.38903244485,
00005f0f66be80370258,MWI,MWI.18_1,Malawi,Neno,,14040.483204902937,3527.236871393637,3694.9390859112063,1990.7540059355879,0.0,
00002f66a6f708ac6aaf,MWI,MWI.16_1,Malawi,Mwanza,,1753.0940319397532,3413.4116124443117,9033.580142857523,11993.970177836483,0.0,
000042c91e3399765cc0,MWI,MWI.1_1,Malawi,Balaka,,50131.33646669898,14803.9587188103,12616.505164471093,24864.459320995316,12070.336225306455,
0000e420fcf656a56f60,MWI,MWI.22_1,Malawi,Ntcheu,Ncheu,196265.3039706624,38168.775800751806,13089.405277904036,13913.087696285273,6946.117224459326,
0000d11d61a952879bd1,MWI,MWI.12_1,Malawi,Machinga,Kasupe|Kasupi|Liwonde,137346.77643278133,30559.72426456763,20861.843669345908,20008.91535513728,2538.2684430364716,
0000ecd3aa6eca2a5da3,MWI,MWI.24_1,Malawi,Phalombe,,210102.29728465347,23333.841199950955,8208.864946068055,2062.614799460502,0.0,
