system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,pop14,pop15,pop16,pop17,pop18,pop19,.geo
0000d29d932816658073,GNB,GNB.1_1,Guinea-Bissau,BafatÃ¡,,197644.58337133148,202836.16196321018,208013.3109713068,213242.64813381157,218521.79004791405,223931.62510797536,
0000ef286282c2244d97,GNB,GNB.7_1,Guinea-Bissau,Oio,,219289.31978078265,225049.4795400256,230793.64752588404,236595.72857768842,242453.07611335136,248455.43284996878,
00003618694a9df5c034,SEN,SEN.7_1,Senegal,Kolda,,613736.2298003675,630827.5169237666,648395.1613099838,666404.3563503262,684785.9260250826,703674.5185029131,
000015736031466a909e,SEN,SEN.12_1,Senegal,Tambacounda,SÃ©nÃ©gal Oriental,597711.799365758,614356.8279363073,631465.8006771515,649004.8060675365,666906.4697320028,685301.9195241574,
0000b801f0cec9cc20a1,SEN,SEN.11_1,Senegal,SÃ©dhiou,,401800.4764141627,412989.75982122164,424490.9090733369,436281.1332124587,448315.1424514806,460681.08767377434,
0000602f33c867e3b9b7,GNB,GNB.3_1,Guinea-Bissau,Bissau,,9093.938953093366,9332.810805942892,9571.018266192916,9811.626737897768,10054.526612536272,10303.439796759,
00008e0ccc9344e532ea,GNB,GNB.2_1,Guinea-Bissau,Biombo,,49333.00949916343,50628.84702858719,51921.08034573351,53226.33872512479,54544.02755992885,55894.337535074876,
0000bbc6b305f2c6909a,GMB,GMB.2_1,Gambia,Lower River,Central|South Bank,62625.08757476981,64488.130796273035,66382.78245387995,68319.89164649943,70298.77768266357,72334.98218774333,
00004159c410485e6ec8,SEN,SEN.5_1,Senegal,Kaolack,,722123.5412015398,742233.1587999588,762903.2917079178,784092.9675669144,805720.7872380908,827945.1721213962,
0000106e943de78c023c,GMB,GMB.3_1,Gambia,Maccarthy Island,Central River|Jangjangbureh|Janjanbureh|Janjangburreh,186040.41331837318,191574.95135199736,197203.38951628804,202957.95645003387,208836.62967902044,214885.57862770057,
00003e1c753980ca870d,SEN,SEN.4_1,Senegal,Kaffrine,,598673.8841696221,615345.6869419708,632482.1832049853,650049.4047036689,667979.8676591219,686404.91072049,
00006ba1e01395c37849,GMB,GMB.5_1,Gambia,Upper River,,163364.75928543005,168224.71913705984,173167.13368465373,178220.30367445401,183382.45327654894,188694.1245646753,
0000907166da06af5667,SEN,SEN.6_1,Senegal,KÃ©dougou,SÃ©nÃ©gal Oriental,156504.88283023384,160863.2242901932,165343.0831875233,169935.56072671246,174623.01411241866,179439.7649416767,
0000b2f76e1579347564,MRT,MRT.6_1,Mauritania,Guidimaka,Guidimagha|Guidimakha,262269.4602351166,269810.3240794721,277378.90927029256,285057.98250627745,292841.4571387525,300837.4587628761,
0000ab37cc2d64c1717f,GIN,GIN.6_1,Guinea,LabÃ©,,934402.6059636946,956187.8720396025,981349.8248070742,1008344.2849148068,1036757.6828937408,1065971.7213058937,
0000772822dfacd7dde6,GIN,GIN.7_1,Guinea,Mamou,,676247.7171584358,692014.1229621401,710224.3417290618,729760.7990330004,750324.1810135724,771467.0031052885,
000006909bc1d595410e,SLE,SLE.2_1,Sierra Leone,Northern,,1623243.2660713296,1658827.6672245255,1694490.0452845043,1730740.0614711328,1767454.615209239,1804948.00324207,
000013d321e7152cce44,SLE,SLE.1_1,Sierra Leone,Eastern,,839347.6081179006,857747.7414056839,876188.1865776947,894932.4767121498,913916.9661142332,933304.180020313,
00003a75c5ae36e696e5,GIN,GIN.2_1,Guinea,Conakry,,11312.325297498093,11576.066980758245,11880.688960548954,12207.496363480575,12551.482243622644,12905.161043771805,
0000c91c3d31d65c6762,SLE,SLE.3_1,Sierra Leone,Southern,,1030536.1679479132,1053127.5393016126,1075768.3549419155,1098782.202132885,1122090.9446379035,1145894.141659493,
0000386c909e82a8650c,SLE,SLE.4_1,Sierra Leone,Western,,40276.34294259662,41159.27158919028,42044.13255232946,42943.57305266016,43854.538946794455,44784.82924272528,
00001e9742320052d8b8,GIN,GIN.8_1,Guinea,NzÃ©rÃ©korÃ©,,1181921.9076179455,1209478.0102093443,1241304.9685159398,1275449.7075443561,1311389.1458975428,1348341.2820520457,
00006549045a637e2fb7,LBR,LBR.3_1,Liberia,Gbapolu,Gbarpolu,103841.32098360565,106501.2871790477,109171.70866052974,111861.1634659692,114579.3213578611,117363.52882492628,
00003ae2d4bf0b55f62e,LBR,LBR.4_1,Liberia,Grand Cape Mount,,154864.32873407617,158830.94717671245,162813.15336130865,166823.7607782247,170877.17513587233,175029.0781535834,
0000a557ff1c1c7c3b20,LBR,LBR.1_1,Liberia,Bomi,,90881.6185959071,93209.61318382503,95546.75820732591,97900.5611399479,100279.4849293844,102716.21511267712,
00009f930a0069bec042,LBR,LBR.11_1,Liberia,Montserrado,,108976.16306635752,111767.66174067493,114570.13270373063,117392.57816822708,120245.14605604918,123167.02959978164,
