system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,noacc14,.geo,noacc19,noacc18,noacc17,noacc16,noacc15
000015736031466a909e,SEN,SEN.12_1,Senegal,Tambacounda,S̩n̩gal Oriental,26499.80947,,25158.47364,25158.47364,25158.47364,25158.47364,25158.47364
0000b801f0cec9cc20a1,SEN,SEN.11_1,Senegal,S̩dhiou,,54807.30045,,11991.37767,11991.37767,11991.37767,11991.37767,11991.37767
0000602f33c867e3b9b7,GNB,GNB.3_1,Guinea-Bissau,Bissau,,51197.56777,,0,0,0,0,0
00008e0ccc9344e532ea,GNB,GNB.2_1,Guinea-Bissau,Biombo,,60210.24353,,64782.56024,64782.56024,64782.56024,64782.56024,64782.56024
0000bbc6b305f2c6909a,GMB,GMB.2_1,Gambia,Lower River,Central|South Bank,21490.85067,,6616.55337,6616.55337,6616.55337,6616.55337,6616.55337
00004159c410485e6ec8,SEN,SEN.5_1,Senegal,Kaolack,,45155.19954,,26695.35781,26695.35781,26695.35781,26695.35781,26695.35781
0000106e943de78c023c,GMB,GMB.3_1,Gambia,Maccarthy Island,Central River|Jangjangbureh|Janjanbureh|Janjangburreh,48933.44135,,41834.7298,41834.7298,41834.7298,41834.7298,41834.7298
00003e1c753980ca870d,SEN,SEN.4_1,Senegal,Kaffrine,,4305.431573,,4032.038407,4032.038407,4032.038407,4032.038407,4032.038407
00006ba1e01395c37849,GMB,GMB.5_1,Gambia,Upper River,,76575.92678,,27197.47301,27197.47301,27197.47301,27197.47301,27197.47301
0000907166da06af5667,SEN,SEN.6_1,Senegal,K̩dougou,S̩n̩gal Oriental,4885.979,,1002.941611,1002.941611,1002.941611,1002.941611,1002.941611
0000b2f76e1579347564,MRT,MRT.6_1,Mauritania,Guidimaka,Guidimagha|Guidimakha,30072.45734,,28208.49919,28208.49919,28208.49919,28208.49919,28208.49919
0000ab37cc2d64c1717f,GIN,GIN.6_1,Guinea,Lab̩,,143469.0713,,115873.3083,115873.3083,115873.3083,115873.3083,115873.3083
0000772822dfacd7dde6,GIN,GIN.7_1,Guinea,Mamou,,72249.20499,,60711.63744,60711.63744,60711.63744,60711.63744,60711.63744
000006909bc1d595410e,SLE,SLE.2_1,Sierra Leone,Northern,,340465.115,,303320.1529,303320.1529,303320.1529,303320.1529,303320.1529
000013d321e7152cce44,SLE,SLE.1_1,Sierra Leone,Eastern,,364671.0744,,259919.7282,259919.7282,259919.7282,259919.7282,259919.7282
00003a75c5ae36e696e5,GIN,GIN.2_1,Guinea,Conakry,,156.5005434,,0,0,0,0,0
0000c91c3d31d65c6762,SLE,SLE.3_1,Sierra Leone,Southern,,215181.4315,,178369.8535,178369.8535,178369.8535,178369.8535,178369.8535
0000386c909e82a8650c,SLE,SLE.4_1,Sierra Leone,Western,,121481.5162,,15376.52993,15376.52993,15376.52993,15376.52993,15376.52993
00001e9742320052d8b8,GIN,GIN.8_1,Guinea,Nz̩r̩kor̩,,556122.3777,,220099.234,220099.234,220099.234,220099.234,220099.234
00006549045a637e2fb7,LBR,LBR.3_1,Liberia,Gbapolu,Gbarpolu,0,,0,0,0,0,0
00003ae2d4bf0b55f62e,LBR,LBR.4_1,Liberia,Grand Cape Mount,,6479.010056,,2912.138189,2912.138189,2912.138189,2912.138189,2912.138189
0000a557ff1c1c7c3b20,LBR,LBR.1_1,Liberia,Bomi,,18368.18179,,12093.23889,12093.23889,12093.23889,12093.23889,12093.23889
00009f930a0069bec042,LBR,LBR.11_1,Liberia,Montserrado,,28091.99791,,12369.28683,12369.28683,12369.28683,12369.28683,12369.28683
00002071b993cf1abaa5,LBR,LBR.9_1,Liberia,Margibi,,53426.94123,,13946.34603,13946.34603,13946.34603,13946.34603,13946.34603
0000efc0e6b1324328e1,CIV,CIV.2_1,C̫te d'Ivoire,Bas-Sassandra,,212860.3508,,145352.9086,145352.9086,145352.9086,145352.9086,145352.9086
